SheetName,Structure,Origin,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Validation,XML File,Unnamed: 6,UVA,UVA.1,UVA.2,USR,Comments,File:,7G0FN07-92118-01_3_20190121_094231_1061C.stdf,Unnamed: 4,Unnamed: 5,Unnamed: 7,Unnamed: 8,20170927,PinId renamed to PinIndex,dataPOWER used,dataPOWER,FILE,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170114081437.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170125052513.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170128170445.stdf,AP0101A_P010B0TAAB-K1-SWF_PB7H52_PB7H52-04C5_20170206115713.stdf,AP0102_PC6S61_CP2_PC6S61-06G3_20170124154639.stdf,AP0202_P48P98_CP2_P48P98-20F6_20160310175436.stdf,P010A0TBAC-K1-SWF_PCBH24_PCBH24-01G6_20170121055708.stdf,ATH03_AP0202_CKF190004_619ON04E_20160518_12h49m04s_RS_1M.stdf.txt,1_AP0202_1_619ON04E_20160518_12h58m36s_FT_1.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_13h29m20s_FT_1A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_14h11m29s_FT_1B.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h31m45s_RS_2A.stdf.txt,ATH03_AP0202_CKF190004_619ON04E_20160518_16h49m41s_RS_3A.stdf.txt,AT10_AP0100A_MY5526709D_737ON40E_20171003_13h40m05s_FT_1A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_22h40m55s_FT_1A.stdf,ATH03_AP0102_CKG350016_735ON11E_20170910_14h40m09s_RS_1M.stdf,ATH03_AP0202_CKG080039_708ON39E_20170402_03h12m01s_FT_1A.stdf,ATH10_AP0100A_MY5526709A_737ON37E_20171003_08h29m44s_RS_2A.stdf,STH01_AP0101A_CKG360022_736ON22E_20170922_13h49m55s_FT_1A.stdf,P010A0TBAC-K1-SWF_P4KA33_P4KA33-01F0_20160402053641.stdf,print TEST_TXTs PTR MPR FTR,awk -F': ' '/^PTR|^MPR|^FTR/ { PRINT=1; } /^$/ { PRINT=0; } /^   TEST_TXT:/ { if ( PRINT == 1 ) { print($0); } }',TestCount should be renamed to TestsExecuted
STDF Tran - DataElementMap,,,MIR,33,SETUP_ID,,,Lot,SetupId,980574,892344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,34,DSGN_REV,,,Lot,DesignRevision,CREV2,0032001D,CREV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,35,ENG_ID,,,Lot,EngLotId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,36,ROM_COD,,,Lot,ROMCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,37,SERL_NUM,,,Lot,TesterSerial,hp93k_78,hp93k_88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MIR,38,SUPR_NAM,,,Lot,SupervisorName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MRR,1,FINISH_T,yyyy/mm/dd hh24:mi:ss,,Lot,FinishTime,2013/05/04 01:51:16 [1367632276],2016/03/10 20:30:08 [1457641808],2016/05/18 16:19:42 [1463588382],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MRR,2,DISP_COD,,,Lot,LotDispoCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MRR,3,USR_DESC,,,Lot,LotUserDesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,MRR,4,EXC_DESC,,,Lot,LotExecDesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,1,HEAD_NUM,,INDEX,Site,Head,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,2,SITE_GRP,,INDEX,Site,SiteGroup,2,2,2,,Joins SDR-WIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,3,SITE_CNT,,,Site,SiteCount,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,4,SITE_NUM,,INDEX,Site,Site,1,1,1,,!Only ONE representative! SITE_NUM array,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,5,HAND_TYP,,,Site,HandlerType,,,HON507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,6,HAND_ID,,,Site,HandlerId,,,HT49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,7,CARD_TYP,,,Site,CardType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,8,CARD_ID,,,Site,CardId,PH004JU004-002,PH004JU006-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,9,LOAD_TYP,,,Site,LoadBoardType,,,APO200-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,10,LOAD_ID,,,Site,LoadBoardId,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,11,DIB_TYP,,,Site,DIBBoardType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,12,DIB_ID,,,Site,DIBBoardId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,13,CABL_TYP,,,Site,CableType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,14,CABL_ID,,,Site,CableId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,15,CONT_TYP,,,Site,ContactorType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,16,CONT_ID,,,Site,ContactorId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDF Tran - DataElementMap,,,SDR,17,LASR_TYP,,,Site,LaserType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
