2024-06-10 01:15:16 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:16 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:16 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:17 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:17 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:17 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:17 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:18 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:18 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:18 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:18 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:19 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:19 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:19 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:20 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:20 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:20 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:20 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:21 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:21 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:21 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:21 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:22 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:22 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:22 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:22 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:23 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:23 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:23 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:23 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:24 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:25 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:26 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:27 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
2024-06-10 01:15:28 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/pp_status_ws.log']'. Reloading...
